uuid,text
96b1abb6-c847-5d97-8093-8f9308a59926,"Agonizing RemorseTarget opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life. Sorcery   If you choose a card from their graveyard, it may be a land card. You must choose a card to exile if able. If there are no nonland cards in the opponent’s hand, you must exile a card from their graveyard, and vice versa. No player may take actions between the time you choose a card and the time it’s exiled. If there are no nonland cards in their hand and no cards in their graveyard, then you just lose 1 life. 1 black "
a3213f17-f973-5564-8a93-e39bdd757c20,"Agonizing SyphonAgonizing Syphon deals 3 damage to any target and you gain 3 life. Sorcery   If the chosen target becomes an illegal target for Agonizing Syphon, the spell won’t resolve. You won’t gain life. 1 black "
94c7dfb3-1b6d-5019-8b2c-49c558019cc2,"Ahn-Crop InvaderAs long as it's your turn, Ahn-Crop Invader has first strike.
{1}, Sacrifice another creature: Ahn-Crop Invader gets +2/+0 until end of turn. Creature  Zombie Minotaur Warrior 1 red "
11a432d3-282a-526e-8bb3-043fdb58aa44,"Aid the FallenChoose one or both —
• Return target creature card from your graveyard to your hand.
• Return target planeswalker card from your graveyard to your hand. Sorcery   1 black "
e8042131-244c-56e6-9996-8d92db84d767,Air ElementalFlying Creature  Elemental 2 blue 
288171d1-d38c-5ab4-9f0f-748fbb481d55,"Ajani's PridemateWhenever you gain life, put a +1/+1 counter on Ajani's Pridemate. Creature  Cat Soldier The ability of Ajani’s Pridemate triggers just once for each life-gaining event, whether it’s 1 life from Ajani’s Welcome or 2 life from Battlefield Promotion. If Ajani’s Pridemate is dealt lethal damage at the same time that you gain life, it won’t receive a counter from its ability in time to save it. Each creature with lifelink dealing combat damage causes a separate life-gaining event. For example, if two creatures you control with lifelink deal combat damage at the same time, Ajani’s Pridemate’s ability will trigger twice. However, if a single creature you control with lifelink deals combat damage to multiple creatures, players, and/or planeswalkers at the same time (perhaps because it has trample or was blocked by more than one creature), the ability will trigger only once. If you gain an amount of life “for each” of something, that life is gained as one event and the ability of Ajani’s Pridemate triggers only once. In a Two-Headed Giant game, life gained by your teammate won’t cause the ability to trigger, even though it caused your team’s life total to increase. 1 white "
3b4a4a04-43f5-5e80-a107-c0495c20931b,"Ajani, Inspiring Leader[+2]: You gain 2 life. Put two +1/+1 counters on up to one target creature.
[−3]: Exile target creature. Its controller gains 2 life.
[−10]: Creatures you control gain flying and double strike until end of turn. Planeswalker Legendary Ajani You may activate Ajani’s first ability without choosing any target. If you do, you will gain 2 life. However, if you do choose a target and the target creature is an illegal target by the time the ability tries to resolve, the ability doesn’t resolve. You won’t gain 2 life. If the target creature is an illegal target by the time Ajani’s second ability tries to resolve, the ability doesn’t resolve. No player will gain life. Ajani’s last ability affects only creatures you control at the time it resolves. Creatures you begin to control later in the turn won’t gain flying or double strike. 2 white "
c1e51846-091d-53dc-8f69-9c44b0e0d477,"Ajani, Strength of the Pride[+1]: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.
[−2]: Create a 2/2 white Cat Soldier creature token named Ajani's Pridemate with ""Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.""
[0]: If you have at least 15 life more than your starting life total, exile Ajani, Strength of the Pride and each artifact and creature your opponents control. Planeswalker Legendary Ajani If a planeswalker you control is also a creature (most likely because it’s Gideon), it will be counted twice as Ajani’s first ability resolves. The tokens created by Ajani’s second ability are similar to the card Ajani’s Pridemate, but they have no mana cost and their converted mana cost is 0. If Ajani’s Pridemate is dealt lethal damage at the same time that you gain life, it won’t receive a counter from its ability in time to save it. The ability of Ajani’s Pridemate triggers just once for each life-gaining event, whether it’s 1 life from Impassioned Orator or 4 life from Dawning Angel. If you gain an amount of life “for each” of something or “equal to the number” of something, that life is gained as one event and the ability of Ajani’s Pridemate triggers only once. Each creature with lifelink dealing combat damage causes a separate life-gaining event. For example, if two creatures you control with lifelink deal combat damage at the same time, Ajani’s Pridemate’s ability will trigger twice. However, if a single creature you control with lifelink deals combat damage to multiple creatures, players, and/or planeswalkers at the same time (perhaps because it has trample or was blocked by more than one creature), the ability will trigger only once. Whether you have at least 15 life more than your starting life total is determined as Ajani’s last ability resolves. In a Two-Headed Giant game, life gained by your teammate won’t cause Ajani’s Pridemate’s ability to trigger, even though it will cause your team’s life total to increase. In a Two-Headed Giant game, Ajani’s last ability exiles permanents as long as your team’s life total is greater than your team’s starting life total by 15 or more life. 2 white "
375929d7-bb97-5939-ac4b-6d77a526058a,"Ajani, the GreatheartedCreatures you control have vigilance.
[+1]: You gain 3 life.
[−2]: Put a +1/+1 counter on each creature you control and a loyalty counter on each other planeswalker you control. Planeswalker Legendary Ajani If a planeswalker you control is also a creature (most likely because it’s Gideon), that planeswalker receives both a +1/+1 counter and a loyalty counter as Ajani’s last ability resolves. If Ajani is somehow a creature as his last ability resolves, he’ll get a +1/+1 counter. 1 white 1 green "
e0f6909c-0bee-5f79-9d89-5fc5a383444a,"Alela, Artful ProvocateurFlying, deathtouch, lifelink
Other creatures you control with flying get +1/+0.
Whenever you cast an artifact or enchantment spell, create a 1/1 blue Faerie creature token with flying. Creature Legendary Faerie Warlock Alela’s last ability resolves before the spell that caused it to trigger. It resolves even if that spell is countered. A spell that’s both an artifact and an enchantment spell causes Alela’s last ability to trigger only once. 1 white 1 blue 1 black "
e872458f-f70a-56a5-ad28-c08dc0b258a2,"Alirios, EnrapturedAlirios, Enraptured enters the battlefield tapped.
Alirios doesn't untap during your untap step if you control a Reflection.
When Alirios enters the battlefield, create a 3/2 blue Reflection creature token. Creature Legendary Human Spells and abilities can untap Alirios, even if it doesn’t untap during your untap step. Once you no longer control a Reflection, Alirios doesn’t immediately become untapped. It’ll be untapped during your next untap step. 1 blue "
5033fdcb-826d-5106-b9ac-cf875b07a2cc,"All That GlittersEnchant creature
Enchanted creature gets +1/+1 for each artifact and/or enchantment you control. Enchantment  Aura Because All That Glitters is an enchantment, the enchanted creature usually gets at least +1/+1. A permanent that’s both an artifact and an enchantment is counted only once. You still control Auras that you put onto the battlefield attached to a permanent you don’t control. 1 white "
f7d2eb8c-0f51-5b09-a2b9-514ebd4da168,"Allure of the UnknownReveal the top six cards of your library. An opponent exiles a nonland card from among them, then you put the rest into your hand. That opponent may cast the exiled card without paying its mana cost. Sorcery   If all six of the revealed cards are land cards, your opponent doesn’t exile anything. You put all six cards into your hand. If your opponent wishes to cast the card, they do so as part of the resolution of Allure of the Unknown. They can’t wait to cast it later. Timing permissions based on a card’s type are ignored. If you cast a spell “without paying its mana cost,” you can’t choose to cast it for any alternative costs. You can, however, pay additional costs, such as kicker costs. If the card has any mandatory additional costs, such as that of Thrill of Possibility, those must be paid to cast the card. If a spell has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost. 1 red 1 black "
b464317f-89c9-54af-86eb-a345684cafd4,"Alseid of Life's BountyLifelink
{1}, Sacrifice Alseid of Life's Bounty: Target creature or enchantment you control gains protection from the color of your choice until end of turn. Enchantment Creature  Nymph 1 white "
26c1650b-a13f-574a-a012-6a38d820d276,"Altar of the PantheonYour devotion to each color and each combination of colors is increased by one.
{T}: Add one mana of any color. If you control a God, a Demigod, or a legendary enchantment, you gain 1 life. Artifact   Your devotion to two colors (for example, your devotion to red and green) is increased by one, not by two or three. You gain just 1 life, no matter how many Gods, Demigods, and/or legendary enchantments you control beyond the first. The last ability of Altar of the Pantheon is a mana ability. It doesn’t use the stack and can’t be responded to. You’ll immediately add mana to your mana pool and gain 1 life, if applicable. "
ba891e0c-60c8-59f1-88a4-19dd0d25118e,"Alter FateReturn target creature card from your graveyard to your hand. (Then exile this card. You may cast the creature later from exile.) Sorcery  Adventure An adventurer card is a creature card in every zone except the stack, as well as while on the stack if not cast as an Adventure. Ignore its alternative characteristics in those cases. For example, while it’s in your graveyard, Giant Killer is a white creature card whose converted mana cost is 1. It can’t be the target of the triggered ability of Mystic Sanctuary. When casting a spell as an Adventure, use the alternative characteristics and ignore all of the card’s normal characteristics. The spell’s color, mana cost, converted mana cost, and so on are determined by only those alternative characteristics. If the spell leaves the stack, it immediately resumes using its normal characteristics. If you cast an adventurer card as an Adventure, use only its alternative characteristics to determine whether it’s legal to cast that spell. For example, if Giant Killer is exiled with the last ability of Vivien, Champion of the Wilds, you can’t cast it as Chop Down. If a spell is cast as an Adventure, its controller exiles it instead of putting it into its owner’s graveyard as it resolves. For as long as it remains exiled, that player may cast it as a creature spell. If an Adventure spell leaves the stack in any way other than resolving (most likely by being countered or by failing to resolve because its targets have all become illegal), that card won’t be exiled and the spell’s controller won’t be able to cast it as a creature later. If an adventurer card ends up in exile for any other reason than by exiling itself while resolving, it won’t give you permission to cast it as a creature spell. You must still follow any timing restrictions and permissions for the creature spell you cast from exile. Normally, you’ll be able to cast it only during your main phase while the stack is empty. If an effect copies an Adventure spell, that copy is exiled as it resolves. It ceases to exist as a state-based action; it’s not possible to cast the copy as a creature. If an object becomes a copy of an object that has an Adventure, the copy also has an Adventure. If it changes zones, it will either cease to exist (if it’s a token) or cease to be a copy (if it’s a nontoken permanent), and so you won’t be able to cast it as an Adventure. If an effect instructs you to choose a card name, you may choose the alternative Adventure name. Consider only the alternative characteristics to determine whether that is an appropriate name to choose. Casting a card as an Adventure isn’t casting it for an alternative cost. Effects that allow you to cast a spell for an alternative cost or without paying its mana cost may allow you to apply those to the Adventure. 1 black "
21cc3904-5ef0-5f93-814b-4f8cc97c9458,"AmplifireAt the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order. Creature  Elemental Amplifire will be a 1/1 creature from the time your untap step begins until the time its triggered ability resolves during your upkeep. Any effects that modify Amplifire’s power and/or toughness without setting them to a specific number or value will apply after its base power and toughness are set, regardless of the order in which those effects were created. The same is true of counters that modify its power and toughness. If you reveal your entire library and don’t reveal a creature card, Amplifire becomes a 0/0 creature and you put your library back in a random order. 2 red "
c266b16e-698a-5fad-95b9-f745ae5620cf,"Anax, Hardened in the ForgeAnax's power is equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.)
Whenever Anax or another nontoken creature you control dies, create a 1/1 red Satyr creature token with ""This creature can't block."" If the creature had power 4 or greater, create two of those tokens instead. Enchantment Creature Legendary Demigod The ability that defines Anax’s power works in all zones, not just the battlefield. If Anax dies at the same time as another nontoken creature you control, its ability triggers for each of them. To determine whether you create two tokens, check the power of the creature that died immediately before it died. If you create a token that’s a copy of Anax, its last ability triggers when it dies. Colorless and generic mana symbols ({C}, {0}, {1}, {2}, {X}, and so on) in mana costs of permanents you control don’t count toward your devotion to any color. Mana symbols in the text boxes of permanents you control don’t count toward your devotion to any color. Hybrid mana symbols, monocolored hybrid mana symbols, and Phyrexian mana symbols do count toward your devotion to their color(s). If an activated ability or triggered ability has an effect that depends on your devotion to a color, you count the number of mana symbols of that color among the mana costs of permanents you control as the ability resolves. The permanent with that ability will be counted if it’s still on the battlefield at that time. If you put an Aura on an opponent’s permanent, you still control the Aura, and mana symbols in its mana cost count towards your devotion. 2 red "
c0ee9b7d-d47d-5656-8cfd-a0b02b10972d,"Ancestral BladeWhen Ancestral Blade enters the battlefield, create a 1/1 white Soldier creature token, then attach Ancestral Blade to it.
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.) Artifact  Equipment The Soldier token that you create enters the battlefield as a 1/1 creature. Any abilities that trigger when a creature with a certain power enters the battlefield will see the token enter as a 1/1 creature. No player may take any actions between the time you create the Soldier token and the time Ancestral Blade becomes attached to it. 1 white "
7eb0f276-5e32-5a1e-acfd-9b0ddc19b845,"Angel of GraceFlash
Flying
When Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.
{4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10. Creature  Angel Angel of Grace’s triggered ability doesn’t prevent damage. It only changes the result of damage dealt to you. For example, a creature with lifelink that deals damage to you will still cause its controller to gain life, even if that damage would reduce your life total to less than 1. Angel of Grace’s triggered ability doesn’t stop loss of life from effects that say that you lose life. If you have less than 1 life and somehow haven’t lost the game, damage dealt to you reduces your life total further below 0 (as normal). For a player’s life total to become 10, that player gains or loses the appropriate amount of life. For example, if your life total is 2, Angel of Grace’s last ability will cause you to gain 8 life; alternatively, if your life total is 20, it will cause you to lose 10 life. Other cards that interact with life gain or life loss will interact with this effect accordingly. In a Two-Headed Giant game, after resolving Angel of Grace’s triggered ability, damage dealt to you and/or your teammate that would reduce your team’s life total to less than 1 reduces it to 1 instead. In a Two-Headed Giant game, the activated ability of Angel of Grace causes you to gain or lose life so that your team’s life total becomes 10. In a Commander game, combat damage you’re dealt by a commander is still tracked, even if it doesn’t change your life total. 2 white "
fbed611f-bb97-5360-ace7-853b8c447e04,"Angel of VitalityFlying
If you would gain life, you gain that much life plus 1 instead.
Angel of Vitality gets +2/+2 as long as you have 25 or more life. Creature  Angel Because damage remains marked on a creature until it’s removed as the turn ends, nonlethal damage dealt to Angel of Vitality may become lethal if your life total drops below 25 during that turn. In a Two-Headed Giant game, life gained by your teammate won’t cause Angel of Vitality’s second ability to apply, even though it will cause your team’s life total to increase. In multiplayer formats where your life total doesn’t start at 20, Angel of Vitality’s last ability still applies if your life total is 25 or more. In a Two-Headed Giant game, Angel of Vitality’s last ability applies as long as your team’s life total is 25 or more. If you control two Angels of Vitality and you would gain life, you gain that much life plus 2. A third Angel of Vitality has you gain that much life plus 3, and so on. The middle ability of Angel of Vitality applies just once to each life-gaining event, whether it’s 1 life from Impassioned Orator or 4 life from Dawning Angel. If you gain an amount of life “for each” of something or “equal to the number” of something, that life is gained as one event and the ability of Angel of Vitality applies only once. Each creature with lifelink dealing combat damage causes a separate life-gaining event. For example, if two creatures you control with lifelink deal combat damage at the same time, Angel of Vitality’s second ability will apply twice. However, if a single creature you control with lifelink deals combat damage to multiple creatures, players, and/or planeswalkers at the same time (perhaps because it has trample or was blocked by more than one creature), the ability will apply only once. If Angel of Vitality is dealt damage and your life total is increased above 25 before state-based actions are performed (most likely because Angel of Vitality is dealt combat damage at the same time that a creature you control with lifelink deals combat damage), Angel of Vitality’s last ability applies before checking whether it’s destroyed for having lethal damage marked on it. 1 white "
344b3de7-f937-5238-b0c2-689b11921d12,"Angelic ExaltationWhenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control. Enchantment   A creature attacks alone if it’s the only creature declared as an attacker during the declare attackers step (including creatures controlled by your teammates, if applicable). For example, Angelic Exaltation’s ability won’t trigger if you attack with multiple creatures and all but one of them are removed from combat. The value of X is determined only as Angelic Exaltation’s ability begins to resolve. It won’t change later in the turn if the number of creatures you control changes. 1 white "
1d4c946c-735e-5d9e-850a-53ecba17dfc5,"Angelic GiftEnchant creature
When Angelic Gift enters the battlefield, draw a card.
Enchanted creature has flying. Enchantment  Aura If the target creature is an illegal target by the time Angelic Gift tries to resolve, the spell doesn’t resolve. It won’t enter the battlefield, so you won’t draw a card. 1 white "
0cf128c2-94c5-5faf-8918-0d874722d941,"Angelic GuardianFlying (This creature can't be blocked except by creatures with flying or reach.)
Whenever one or more creatures you control attack, they gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.) Creature  Angel 2 white "
c9e1b4bc-8bbd-5c08-896b-db9fcf138e70,"Angrath's RampageChoose one —
• Target player sacrifices an artifact.
• Target player sacrifices a creature.
• Target player sacrifices a planeswalker. Sorcery   1 red 1 black "
0f4485d8-5508-5588-b1a1-7b4eaa7ffcaf,"Angrath, Captain of ChaosCreatures you control have menace.
[−2]: Amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.) Planeswalker Legendary Angrath Army is a new creature type. It’s possible to control a nontoken Army (perhaps a creature with the changeling ability) and, through combinations of other cards, it’s possible to control multiple Army tokens. When instructed to amass, you may put +1/+1 counters on any of your Army creatures, and you may choose a different one each time. If you don’t control an Army, the Zombie Army token that you create enters the battlefield as a 0/0 creature. Any abilities that trigger when a creature with a certain power enters the battlefield, such as that of Mentor of the Meek, will see the token enter as a 0/0 creature before it gets +1/+1 counters. 2 red 2 black "
88715bd2-8b80-5278-938d-814c153ec768,"Animating FaerieFlying Creature  Faerie An adventurer card is a creature card in every zone except the stack, as well as while on the stack if not cast as an Adventure. Ignore its alternative characteristics in those cases. For example, while it’s in your graveyard, Giant Killer is a white creature card whose converted mana cost is 1. It can’t be the target of the triggered ability of Mystic Sanctuary. When casting a spell as an Adventure, use the alternative characteristics and ignore all of the card’s normal characteristics. The spell’s color, mana cost, converted mana cost, and so on are determined by only those alternative characteristics. If the spell leaves the stack, it immediately resumes using its normal characteristics. If you cast an adventurer card as an Adventure, use only its alternative characteristics to determine whether it’s legal to cast that spell. For example, if Giant Killer is exiled with the last ability of Vivien, Champion of the Wilds, you can’t cast it as Chop Down. If a spell is cast as an Adventure, its controller exiles it instead of putting it into its owner’s graveyard as it resolves. For as long as it remains exiled, that player may cast it as a creature spell. If an Adventure spell leaves the stack in any way other than resolving (most likely by being countered or by failing to resolve because its targets have all become illegal), that card won’t be exiled and the spell’s controller won’t be able to cast it as a creature later. If an adventurer card ends up in exile for any other reason than by exiling itself while resolving, it won’t give you permission to cast it as a creature spell. You must still follow any timing restrictions and permissions for the creature spell you cast from exile. Normally, you’ll be able to cast it only during your main phase while the stack is empty. If an effect copies an Adventure spell, that copy is exiled as it resolves. It ceases to exist as a state-based action; it’s not possible to cast the copy as a creature. If an object becomes a copy of an object that has an Adventure, the copy also has an Adventure. If it changes zones, it will either cease to exist (if it’s a token) or cease to be a copy (if it’s a nontoken permanent), and so you won’t be able to cast it as an Adventure. If an effect instructs you to choose a card name, you may choose the alternative Adventure name. Consider only the alternative characteristics to determine whether that is an appropriate name to choose. Casting a card as an Adventure isn’t casting it for an alternative cost. Effects that allow you to cast a spell for an alternative cost or without paying its mana cost may allow you to apply those to the Adventure. Bring to Life’s effect lasts indefinitely. It doesn’t wear off during the cleanup step. An artifact that becomes a creature due to Bring to Life can’t attack unless you’ve controlled it continuously since your turn began. An Equipment that’s also a creature can’t be attached to anything. You can activate its equip ability, but it won’t become attached. If it’s attached as it becomes a creature, it becomes unattached. If another effect later causes the artifact to become a creature and sets its power and toughness as it does so, that creature will have that base power and toughness; it won’t be 0/0. Notably, crewing a Vehicle does not set its power and toughness, so a Vehicle’s base power and toughness remain 0/0 if you crew it. 1 blue "
0eecae0b-344b-5a22-8ca5-6d6abbbac82a,AnticipateLook at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. Instant   1 blue 
35851e26-b4be-5814-a5ab-5e632e387a31,"Anvilwrought RaptorFlying
First strike (This creature deals combat damage before creatures without first strike.) Artifact Creature  Bird "
e9ae0209-64a5-539f-908b-75703877bfb0,"Aphemia, the CacophonyFlying
At the beginning of your end step, you may exile an enchantment card from your graveyard. If you do, create a 2/2 black Zombie creature token. Enchantment Creature Legendary Harpy While resolving Aphemia’s triggered ability, you can’t exile more than one enchantment card to get more than one Zombie token. You choose whether to exile an enchantment card and which one to exile while Aphemia’s triggered ability is resolving. If Aphemia dies in response to its own triggered ability, it could be the card you exile. 1 black "
58f6e1ae-1331-5a19-b977-56f1e10082ea,"Apostle of Purifying LightProtection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)
{2}: Exile target card from a graveyard. Creature  Human Cleric 1 white "
b47a9e61-87d8-5801-9e80-2878fdde3765,"Applied BiomancyChoose one or both —
• Target creature gets +1/+1 until end of turn.
• Return target creature to its owner's hand. Instant   1 green 1 blue "
1316fc6e-a661-57cb-b7c2-68c1a76c6bb0,"Arasta of the Endless WebReach
Whenever an opponent casts an instant or sorcery spell, create a 1/2 green Spider creature token with reach. Enchantment Creature Legendary Spider An ability that triggers when a player casts a spell resolves before the spell that caused it to trigger. It resolves even if that spell is countered. 2 green "
95c29050-0017-5c73-b74f-917ca58349ea,"Arboreal GrazerReach
When Arboreal Grazer enters the battlefield, you may put a land card from your hand onto the battlefield tapped. Creature  Beast Arboreal Grazer’s effect doesn’t count as playing a land. It can put a land card onto the battlefield even if you’ve already played your land for the turn. 1 green "
18cbcbf2-8d48-5f5f-82ba-09b6a58b83a3,"Arboretum ElementalConvoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of the creature's color.)
Hexproof (This creature can't be the target of spells or abilities your opponents control.) Creature  Elemental You can tap an untapped creature you haven’t controlled continuously since the beginning of your most recent turn to convoke a spell. Convoke doesn’t change a spell’s mana cost or converted mana cost. When calculating a spell’s total cost, include any alternative costs, additional costs, or anything else that increases or reduces the cost to cast the spell. Convoke applies after the total cost is calculated. Because convoke isn’t an alternative cost, it can be used in conjunction with alternative costs. Tapping a multicolored creature using convoke will pay for {1} or one mana of your choice of any of that creature’s colors. When using convoke to cast a spell with {X} in its mana cost, first choose the value for X. That choice, plus any cost increases or decreases, will determine the spell’s total cost. Then you can tap creatures you control to help pay that cost. For example, if you cast Worldsoul Colossus (a spell with convoke and mana cost {X}{G}{W}) and choose X to be 3, the total cost is {3}{G}{W}. If you tap two green creatures and two white creatures, you’ll have to pay {1}. If a creature you control has a mana ability with {T} in the cost, activating that ability while casting a spell with convoke will result in the creature being tapped before you pay the spell’s costs. You won’t be able to tap it again for convoke. Similarly, if you sacrifice a creature to activate a mana ability while casting a spell with convoke, that creature won’t be on the battlefield when you pay the spell’s costs, so you won’t be able to tap it for convoke. 2 green "
1fa0736e-1298-5353-95ef-ab69ad7a68bb,"Arcane Signet{T}: Add one mana of any color in your commander's color identity. Artifact   The color identity of your commander is set before the game begins and doesn’t change during the game, even if your commander is in a hidden zone (like the hand or library) or an effect changes your commander’s color. If your commander is a card that has no colors in its color identity, Arcane Signet’s ability produces no mana. It doesn’t produce {C}. If you don’t have a commander, Arcane Signet’s ability produces no mana. "
f0352d26-8167-5a1c-96e3-86669ecedfe5,"Arcanist's OwlFlying
When Arcanist's Owl enters the battlefield, look at the top four cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. Artifact Creature  Bird 4 white 4 blue "
d1cda634-aa81-5c19-b91e-2c886c72d0c7,"Archon of AbsolutionFlying
Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)
Creatures can't attack you or a planeswalker you control unless their controller pays {1} for each of those creatures. Creature  Archon Your opponents can choose not to pay to attack with a creature that attacks “if able.” If there’s no other player or planeswalker to attack, that creature simply doesn’t attack. In a Two-Headed Giant game, creatures can attack your teammate and planeswalkers your teammate controls without requiring a mana payment. 1 white "
4dd7a0df-08b1-5b9c-b15a-5b5e72b3ef53,"Archon of Falling StarsFlying
When Archon of Falling Stars dies, you may return target enchantment card from your graveyard to the battlefield. Creature  Archon If an Aura is put onto the battlefield without being cast, the Aura’s controller-to-be chooses what it will enchant as it comes back onto the battlefield. An Aura put onto the battlefield this way doesn’t target anything (so it could be attached to an opponent’s permanent with hexproof, for example), but the Aura’s enchant ability restricts what it can be attached to. If the Aura can’t legally be attached to anything, it remains in its current zone. 2 white "
